Protein A,Protein B,Publications
Q7L5N1,Q92905,11
P46934,P61077,11
P32121,Q00987,11
Q92844,Q9UHD2,11
P54727,Q01831,11
Q8N7H5,Q8WVC0,11
Q92922,Q969G3,11
O00268,P20226,11
P35998,P62191,11
Q9UKV8,Q9UPY3,11
P27694,P35244,11
Q92793,Q9Y6Q9,11
P20333,Q12933,11
P20339,Q15075,11
Q96EP0,Q9BYM8,11
P21860,P27986,11
P27694,P54132,11
P04049,P27348,11
P51617,Q9NWZ3,11
O60583,P50750,11
O75530,Q15022,11
Q06124,Q13480,11
O14757,P30307,11
Q16665,Q92793,11
O95630,Q92783,11
P25786,P25788,11
P61586,Q9BST9,11
O60216,Q14683,11
Q9NV56,Q9UBU8,11
O95999,Q9BXL7,11
Q99816,Q9UK41,11
P49336,Q15648,11
Q06124,Q9UQC2,11
P12931,P22681,11
P51531,Q92922,11
P06493,P20248,11
O76064,P61088,11
P06400,Q00987,11
O60216,Q8N3U4,11
P51617,Q9H0E2,11
P50613,P51948,11
Q92900,Q9BZI7,11
P68431,Q13112,11
Q01196,Q13951,11
O15047,Q9P0U4,11
P20248,P46527,11
P24928,P50613,11
P20248,Q12834,11
P10599,Q99683,11
P22681,Q9Y5K6,11
O95630,Q9Y3E7,11
P11802,Q16543,10
P45983,P45985,10
P27348,P56524,10
O76071,Q96T76,10
P54132,Q13472,10
P62993,Q07666,10
Q92905,Q9BT78,10
P12004,P52701,10
Q13616,Q96GG9,10
O43521,Q07817,10
Q05513,Q13501,10
P42345,P62942,10
Q13438,Q9UBV2,10
P57740,Q8WUM0,10
O60885,P50750,10
P33993,Q14566,10
P16104,Q14676,10
Q14457,Q92622,10
Q12933,Q15628,10
P12956,P78527,10
Q8TAQ2,Q969G3,10
P46531,Q969H0,10
O60216,Q8WVM7,10
P55884,Q14152,10
P15927,P35244,10
P20226,P52655,10
P00519,P46109,10
Q13131,Q9Y478,10
P25787,P25789,10
Q04206,Q13547,10
P26368,Q01081,10
Q15796,Q9HAU4,10
P52948,P78406,10
O60563,O94992,10
O75832,P43686,10
P27986,Q9Y4H2,10
P27986,P42336,10
P23511,P25208,10
P33991,Q14566,10
P06493,P61024,10
P63104,Q92934,10
P62191,Q13200,10
O95433,P07900,10
P30281,Q00534,10
Q7L5N1,Q9UNS2,10
Q8WUM4,Q99816,10
P67775,Q13362,10
Q13501,Q9Y4K3,10
P31946,P49815,10
Q13404,Q9Y4K3,10
Q8IY92,Q92889,10
O15047,Q15291,10
P62136,Q12972,10
Q12933,Q99558,10
P62993,Q13480,10
P25786,P25787,10
P46100,Q9UER7,10
Q13098,Q92905,10
Q13155,Q15046,10
Q9UBE0,Q9UBT2,10
Q13547,Q9UBB5,10
P26358,Q13547,10
P62258,P63104,10
P50750,Q03111,10
O14964,Q92783,10
P61201,Q13098,10
P40337,P62877,10
O43913,Q13416,10
O00267,P24928,10
P12004,P28340,10
P49336,Q9UHV7,10
P22681,P29353,10
Q13619,Q9Y4B6,10
O14763,Q14790,10
P61077,Q99496,10
O15344,P78318,10
P33992,P49736,9
Q8WVM7,Q9UQE7,9
P06400,P24864,9
Q15369,Q16665,9
O60244,P49336,9
P07900,Q13451,9
P35222,Q9UKB1,9
O94776,Q09028,9
P04049,P15056,9
P60953,Q07912,9
Q16665,Q9GZT9,9
P60520,Q13501,9
P30154,P67775,9
Q9H6T3,Q9NWS0,9
P46736,Q6UWZ7,9
P55072,Q9BZE9,9
P28749,Q16254,9
P42224,P52630,9
O14818,P25786,9
P43686,P62195,9
P22415,Q15853,9
P51668,Q05086,9
P43686,P62191,9
P15056,Q02750,9
Q12834,Q9UJX3,9
Q92830,Q9Y4A5,9
P07992,Q92889,9
P60510,Q9NY27,9
P10636,Q9UNE7,9
P05412,Q09472,9
P25787,P25788,9
Q9BZI7,Q9HAU5,9
P31749,Q6R327,9
O95163,Q9H9T3,9
Q09472,Q9Y6Q9,9
P52298,Q09161,9
Q12834,Q13042,9
P31749,Q00987,9
O14964,Q99816,9
P62310,Q9Y333,9
P61201,Q7L5N1,9
P51668,Q13490,9
Q9BTT4,Q9NVC6,9
P11441,P46379,9
P46736,Q9NXR7,9
O00161,Q12846,9
O00487,P51665,9
P68431,P83916,9
P16333,P22681,9
P35998,Q16401,9
Q14790,Q92851,9
P25205,P33992,9
P31749,Q92934,9
P07900,Q02790,9
