Protein A,Protein B,Publications
Q96HR3,Q9NWA0,2
P67809,Q96AG4,2
P46781,P84098,2
P14923,Q9Y297,2
P19387,Q9Y2S0,2
P43686,Q16401,2
P49756,Q9UQ35,2
P27635,P42677,2
O00487,Q7Z6Z7,2
P18124,P83731,2
P07910,P63104,2
P41250,Q06210,2
P30050,P62888,2
P36873,Q9UHV9,2
P62851,P83731,2
P63244,Q5JVS0,2
P78362,Q13523,2
P19174,Q9Y4H2,2
P49023,P60484,2
P54802,Q9NRD1,2
P23497,P49792,2
P47755,Q7Z6E9,2
P27361,P51812,2
Q92835,Q96B97,2
P24928,Q15544,2
P49840,Q9P0R6,2
P46783,P60866,2
O60244,Q9NWA0,2
Q9BVP2,Q9UKV8,2
P19387,P36954,2
O00232,P28074,2
P20618,P62333,2
P02751,P05556,2
P05387,P62987,2
P17980,P49720,2
P09651,Q9NPE2,2
Q92905,Q9BW61,2
Q96CS2,Q9C0F1,2
P24928,Q9NQG5,2
P31946,Q16890,2
P62829,Q02543,2
P40337,Q9GZT9,2
Q96FW1,Q9Y4K3,2
P22087,Q9BYG3,2
P06576,Q8N5M1,2
P41743,P60953,2
Q01658,Q13952,2
O94763,Q9NWS0,2
O95273,P52737,2
P35268,P62753,2
P07900,Q9BQI3,2
O43504,Q9Y2Q5,2
P61313,P62266,2
A5YKK6,O95628,2
Q92793,Q9UJX3,2
P26373,P61247,2
Q5VZL5,Q9UMX0,2
P62805,Q9BY41,2
O95347,Q14683,2
Q86X83,Q8N668,2
P09661,Q9UMS4,2
P27361,Q12772,2
P36873,Q9UQ13,2
P31948,Q8IWD4,2
O00267,Q9H3P2,2
Q71F23,Q9NSP4,2
O95865,Q15645,2
O75643,P61981,2
P35268,P60520,2
P78362,Q15365,2
P23396,Q02543,2
P68431,Q12888,2
P08047,P62195,2
P60520,Q8TD19,2
P42167,Q01813,2
P49841,Q96BR1,2
O15294,Q9Y297,2
P12004,Q00535,2
O43156,P34932,2
P28290,P63104,2
O96017,Q13362,2
O00505,Q9Y5U2,2
P32969,Q02543,2
Q8NHZ8,Q9UJX2,2
P23396,P63244,2
Q8IWZ6,Q9NQ48,2
P36543,P38606,2
P46527,Q00526,2
Q15022,Q99496,2
Q15427,Q9BUJ2,2
P16284,P29350,2
P09651,Q9UKM9,2
P23511,Q92624,2
Q08945,Q8TD19,2
Q96A65,Q96EV8,2
O75379,Q86Y82,2
Q13526,Q8NF64,2
Q13573,Q92616,2
A0FGR8,Q9BSJ8,2
O76094,Q99459,2
P46776,P62888,2
Q15038,Q8N9H8,2
O15111,P35222,2
P38919,Q07955,2
Q9BSQ5,Q9BUL8,2
P17028,P57086,2
P31751,P78527,2
P08047,P51608,2
P16401,Q05655,2
P52294,Q13620,2
O00567,P61313,2
O43924,P01112,2
Q01167,Q76L83,2
O43741,P11217,2
Q96CS3,Q9H845,2
Q86SZ2,Q8WVT3,2
O95273,Q9P015,2
O43482,Q6P0N0,2
P56192,Q9P2J5,2
P62306,Q7L2J0,2
Q15046,Q9P2J5,2
P60866,P62829,2
P36578,P61513,2
P23396,P27348,2
Q15907,Q6WKZ4,2
O94921,P06400,2
P25786,P48556,2
Q04917,Q9HC77,2
P46087,Q9Y2X3,2
P10636,Q13501,2
P39019,P84098,2
O14964,Q9UMX0,2
P40222,Q9NPJ6,2
O14776,P26368,2
Q16576,Q9UKG1,2
P16333,Q9ULH1,2
O14776,Q12874,2
O00232,P49720,2
P12268,P62993,2
O14964,Q9UJY4,2
P61513,P62888,2
O75179,Q92560,2
Q05397,Q06124,2
Q16531,Q99627,2
P62424,P83731,2
P32969,P46782,2
Q13596,Q96QK1,2
P25398,P83731,2
Q96JB5,Q9Y3C8,2
P19838,Q92785,2
O75376,O75446,2
Q08J23,Q99471,2
O14776,Q13435,2
P51116,P78362,2
P48995,Q13507,2
P49286,P53621,2
P61981,Q8NEB9,2
P00441,P62937,2
Q02078,Q09472,2
P18124,P62241,2
P11940,P68104,2
Q15459,Q9HCS7,2
P15880,P62269,2
P06733,Q14315,2
P18124,P61313,2
P33176,P49792,2
P28066,P62195,2
Q13618,Q9BT78,2
P51531,Q8WUB8,2
P16220,Q13547,2
Q14315,Q9UKB1,2
P62424,P62899,2
P06493,Q9Y5T5,2
P39023,P62244,2
O43395,P26368,2
O14646,Q8N7H5,2
Q15075,Q15276,2
P62314,Q15393,2
Q13618,Q9P2D0,2
P11142,P62701,2
P11387,Q05519,2
Q13616,Q96LD8,2
Q15831,Q8NFZ5,2
P05412,P41240,2
O75792,Q8TDP1,2
P35998,P49721,2
Q99575,Q9BUL9,2
P33993,Q14683,2
P05388,P61313,2
P25398,P63173,2
O95782,P29353,2
P25786,Q9GZU8,2
Q9BW61,Q9UBW8,2
O95817,Q15427,2
P60866,P61513,2
O60331,Q9Y5X3,2
Q01850,Q16512,2
O75530,Q16576,2
P51116,Q9BXS5,2
Q12874,Q9UMS4,2
P62753,P62917,2
O14776,O75533,2
Q9NQP4,Q9UKB1,2
P07900,P19388,2
P42336,P62993,2
P36873,P63261,2
Q9Y230,Q9Y4R8,2
P62258,Q9UQC2,2
Q71SY5,Q9Y2X0,2
P24928,Q13315,2
P23396,Q02878,2
P32121,P68400,2
Q8IX90,Q8WVK7,2
P68431,Q9H7Z6,2
Q9NZN8,Q9UFF9,2
P60709,P62993,2
O15379,Q15910,2
P19784,Q9UQ88,2
P08865,P61313,2
P21333,P32121,2
P29350,Q13094,2
Q9UBU9,Q9Y5S9,2
Q5VYK3,Q99460,2
P33981,Q9HC77,2
P62241,P62913,2
P04062,P37840,2
P10398,Q3ZCQ8,2
O43156,Q13535,2
Q7Z3B3,Q9UBB9,2
O43639,Q15427,2
P05386,P62701,2
O14727,Q07817,2
O60333,Q04917,2
P84022,Q16665,2
O00567,Q99575,2
Q15427,Q9Y3B4,2
P35579,P67936,2
P62318,Q6P2Q9,2
P15927,Q8NFZ0,2
P31947,Q9UQL6,2
P62993,Q14118,2
Q8NFH5,Q9BVL2,2
P25788,Q9UNE7,2
O15151,P06400,2
P25786,Q9Y620,2
O75494,Q8WXA9,2
P38159,Q9UQ35,2
P19838,Q9NWT6,2
P27694,Q9UMS4,2
P61964,Q9BTK6,2
Q15545,Q7Z7C8,2
P27635,Q02543,2
P62993,Q08881,2
O14646,Q08945,2
O94776,Q8N5A5,2
Q9NP79,Q9NQW7,2
Q9NWA0,Q9P086,2
P08865,Q02543,2
P31942,Q9UKB1,2
O75400,P51608,2
Q10589,Q9Y297,2
P34932,Q9UL15,2
P62993,Q05209,2
P46934,Q00987,2
O43521,Q13617,2
P19438,P21580,2
P25490,Q99496,2
P06400,P42574,2
P51587,P53350,2
P26641,Q13011,2
P30039,Q15645,2
P46527,Q12933,2
P61353,P62888,2
Q15691,Q99501,2
O43765,P07900,2
Q9NRD1,Q9P2B2,2
P20248,Q6PJG2,2
P32969,P50914,2
P18124,P23396,2
Q8NBL1,Q9NRD1,2
Q86UW9,Q9NXW9,2
P46777,Q00839,2
Q00987,Q9NY61,2
P07910,P27348,2
O00232,Q13200,2
Q15528,Q6P2C8,2
P18124,Q02543,2
P20226,P29084,2
Q99567,Q9UBU9,2
P46778,P62851,2
P50914,Q02543,2
P08621,P62314,2
P62249,Q02543,2
Q06265,Q9Y3B2,2
P62487,Q9NVC6,2
Q9BU76,Q9UI36,2
P27986,P49023,2
P67775,Q00005,2
O00268,Q15545,2
Q13813,Q92889,2
P35658,Q99567,2
O75643,Q9UMS4,2
O15379,O75081,2
Q8NHY2,Q99627,2
P62314,Q8TEQ6,2
P61981,Q7Z460,2
Q7Z392,Q8WVT3,2
P61163,Q14203,2
P36873,P46013,2
P51398,Q14197,2
P36578,P62263,2
P78527,Q99459,2
P33240,Q9UKF6,2
P55060,Q9H3U1,2
O95999,Q13490,2
Q7LBR1,Q9HD42,2
O14980,Q9NZN8,2
P32121,P45985,2
Q09028,Q8WXI9,2
O95835,P35240,2
O95831,Q13418,2
Q9NVC6,Q9P086,2
P42858,Q9BVA6,2
Q9HC62,Q9Y6K9,2
Q06187,Q07666,2
O14497,Q8WUZ0,2
P61353,P62244,2
P25963,P61077,2
P30153,Q14BN4,2
Q9BRJ2,Q9NYK5,2
Q8IW35,Q9HC77,2
P49257,Q8NI22,2
O75044,P61981,2
O00571,O43390,2
O00522,Q9BSQ5,2
P27635,P62269,2
O43166,Q9UKB1,2
P00403,P13073,2
P06748,P62857,2
P12270,P52948,2
P22681,Q04917,2
Q68CP9,Q92922,2
P05386,P39019,2
Q09161,Q9BY77,2
P49459,Q00987,2
O14980,P00519,2
P62995,Q13247,2
Q15691,Q9UPN3,2
P40337,Q71U36,2
P32314,Q9UKB1,2
Q9H1J1,Q9Y5S9,2
P62280,Q00839,2
Q14457,Q9NYJ8,2
Q92621,Q9UBU9,2
P50914,P62701,2
Q15291,Q9UMN6,2
P15927,P49642,2
P17612,P22694,2
O95685,P36873,2
Q9UBU9,Q9UI26,2
P08670,Q9H9J2,2
P08238,P49736,2
Q9NVC6,Q9NWA0,2
P36578,P62906,2
Q9UBD5,Q9UFC0,2
P61247,P62913,2
Q08379,Q93034,2
Q9H8W4,Q9Y4K3,2
Q13084,Q8N5N7,2
Q96SW2,Q9UKT9,2
Q8TBB1,Q9UI14,2
P11142,P42858,2
P42224,Q8N9N8,2
P26368,Q14498,2
Q15717,Q8WXA9,2
Q09472,Q9P1Z2,2
P23528,P63261,2
P23193,Q00403,2
Q04917,Q96PU5,2
Q14691,Q9BRT9,2
P62258,Q6PKG0,2
P60520,Q9BPW8,2
Q9H081,Q9Y2Z0,2
Q9Y333,Q9Y4Y9,2
P54725,Q9UHP3,2
O43290,O75533,2
P62136,Q6NYC8,2
P28066,Q15008,2
P46782,P63220,2
Q92995,Q9UQE7,2
Q8TBC4,Q969M7,2
P05388,Q9Y3U8,2
O75351,Q8WUM4,2
P63146,Q9C0B0,2
O94888,Q9Y2U9,2
O43734,P07900,2
Q00987,Q969T4,2
P49736,Q96A08,2
P46821,Q8WWW0,2
P21580,Q96EP0,2
O14657,Q9NRD1,2
P11802,P20248,2
O75533,P15880,2
P50570,Q96RU3,2
P62829,P63220,2
Q15831,Q9UNE7,2
O43318,Q99759,2
O60832,Q6PI26,2
O95229,Q9P2E9,2
P55211,Q14790,2
P68104,Q5U5Q3,2
P63167,Q9NQX3,2
O60934,Q09472,2
Q06187,Q99856,2
Q9H7E9,Q9Y2X7,2
P26373,P62241,2
P55196,Q93008,2
P15880,P39023,2
P28065,P49721,2
P29590,P62913,2
P62316,Q15393,2
Q53G59,Q92997,2
O75362,Q13547,2
P35268,P62701,2
P46776,P83731,2
P17987,Q92526,2
P09651,Q14197,2
Q14318,Q5T4F4,2
P04406,P18669,2
O95071,Q9H074,2
P10636,P49840,2
O43765,Q13232,2
P55210,Q15185,2
Q8N0X7,Q9HAU4,2
P15880,P62829,2
Q13084,Q9P015,2
P61077,Q96EP1,2
Q6RW13,Q9NZD8,2
P27694,Q9BUJ2,2
P06748,Q9GZR7,2
P19532,P84022,2
P53367,P61204,2
O14818,P43686,2
P12931,P30530,2
P62701,Q02543,2
P55196,P61981,2
P61077,Q96BH1,2
Q15025,Q15560,2
P06730,P55884,2
P25788,Q00987,2
Q9UIV1,Q9UKV8,2
P32969,P62753,2
Q99459,Q9UPN3,2
Q13136,Q14738,2
P52272,Q01081,2
Q13309,Q9NS23,2
Q6P2C8,Q9H944,2
P46781,P62280,2
Q8TEW0,Q9BYG4,2
P46109,P49023,2
O14920,Q7Z434,2
Q9H1J1,Q9UBU9,2
A0JLT2,P62487,2
P11021,Q00839,2
P78362,Q96T37,2
Q9NUG6,Q9UHV9,2
P15336,P15408,2
P62249,Q00839,2
P01040,P07711,2
P62258,Q7Z401,2
P25490,Q00987,2
Q15369,Q7Z7L7,2
P10809,P62993,2
P09874,Q9NTX7,2
Q13547,Q9ULU4,2
Q99638,Q9HAW4,2
P40429,P50914,2
Q9NVU0,Q9NWS0,2
P46778,P63173,2
P78504,Q9UM47,2
P55209,Q09472,2
P55072,Q9Y263,2
Q13867,Q9BQG2,2
P15924,Q99959,2
Q8NHZ8,Q9UJX3,2
P14649,Q15506,2
O00567,Q9H6R4,2
P49815,Q04917,2
Q08211,Q9ULX6,2
P25098,P62873,2
P13631,Q15788,2
P19387,Q9H3P2,2
P45983,Q9Y6R4,2
P12081,Q9BQ52,2
O95295,Q5SW79,2
P30153,Q9Y4B6,2
Q14197,Q4U2R6,2
P22681,P60953,2
Q9H2W6,Q9NQ50,2
P31946,P68400,2
P62424,P62829,2
P49327,Q13418,2
P46782,P50914,2
P18124,Q9BVP2,2
P35268,P50914,2
P49721,Q99460,2
Q9NYG5,Q9UM11,2
P46940,P62993,2
O60563,Q13573,2
P42566,Q9NZM3,2
P49711,Q15022,2
Q9BRS2,Q9NY12,2
P26373,P62277,2
P07900,Q9Y266,2
P02545,P21333,2
O14807,P04049,2
P62333,Q16401,2
P46087,Q02543,2
O15160,Q8IY37,2
Q9BYD2,Q9NQ50,2
P08238,Q02156,2
P49756,Q14498,2
P09234,Q9UQ35,2
Q15596,Q9Y6Q9,2
Q14781,Q8IXK0,2
Q15637,Q96KR1,2
P33992,Q13451,2
Q15022,Q5T6S3,2
Q13573,Q9UJV9,2
O14920,P51617,2
O95402,P30876,2
Q15788,Q7Z6E9,2
P46781,P62917,2
P47755,Q9BTE1,2
P46939,Q14118,2
P62993,Q06187,2
O94763,Q9Y230,2
P36871,Q9UBQ7,2
O94776,Q9UKG1,2
P84098,Q00839,2
P27694,P35249,2
P22087,Q96RS0,2
P62166,Q9UBF8,2
Q14511,Q9UM11,2
P04049,Q3ZCQ8,2
Q8N488,Q9HCM7,2
O94888,Q8TAT6,2
Q14197,Q8N5N7,2
Q13813,Q5VYK3,2
P23396,P46777,2
P16104,P63104,2
Q16254,Q96GY3,2
P62280,P62854,2
Q9NRD1,Q9Y2E5,2
Q8NC96,Q96CW1,2
Q96B97,Q99501,2
Q16539,Q6PJG2,2
Q14738,Q5FBB7,2
P61513,Q02543,2
O94905,P11021,2
P13056,P29590,2
A0JLT2,P52434,2
P12931,Q05193,2
Q03188,Q9H081,2
P61326,Q9H307,2
Q9UI14,Q9UNI6,2
P62899,P62913,2
Q7L5D6,Q9UKV5,2
P10636,P31946,2
P29372,P52907,2
O60343,P63104,2
P46778,P62854,2
P23528,P68133,2
Q13620,Q16543,2
P61247,P62424,2
O14980,Q8IXJ6,2
O14980,Q96AC1,2
P49815,Q15418,2
Q09028,Q13111,2
P42345,P61254,2
Q04206,Q9Y297,2
P18124,P62277,2
P12931,P20936,2
P00519,P10636,2
Q13619,Q9UBF6,2
P13984,P46379,2
O14964,Q13596,2
P21333,Q12933,2
Q14683,Q15393,2
Q13098,Q13618,2
P05412,P16220,2
P62753,P62857,2
P07910,P52292,2
P62854,Q02543,2
P16949,Q9NVW2,2
P61981,Q9P0K7,2
P62851,P63173,2
Q13123,Q96FV9,2
P25685,P34932,2
Q8WVT3,Q9Y296,2
Q96GM5,Q9NPJ6,2
Q93009,Q96EP1,2
P55072,Q9Y5Q8,2
O94889,Q13618,2
Q14197,Q9BYD6,2
P50990,Q00535,2
P28066,Q969U7,2
P61088,Q86YT6,2
Q9BW61,Q9UNS2,2
P13612,P21333,2
P27986,P42858,2
Q15038,Q9UNA4,2
O14776,P23246,2
O75164,O75376,2
P23396,P62888,2
P62701,P62829,2
O75152,P40692,2
Q96B26,Q9Y2L1,2
P21333,P40337,2
O75376,P29590,2
P08754,Q9Y4H4,2
Q8WUM4,Q9Y5K6,2
Q14004,Q16543,2
P22314,Q969T4,2
Q13618,Q8TBC3,2
Q15796,Q9Y2U8,2
P54578,Q07817,2
P48729,Q6ZRV2,2
P62269,P62851,2
P50914,P62753,2
O75695,P36405,2
O15066,Q92845,2
P06493,P08047,2
P11387,Q00987,2
P02545,Q8WYP5,2
Q9UBK9,Q9UHV9,2
Q13618,Q9H3F6,2
O75665,Q15154,2
Q13309,Q92905,2
P07900,Q13309,2
P62877,Q8NFZ0,2
Q93034,Q969M7,2
P51398,P82675,2
P49792,P57740,2
O15397,Q14974,2
P62851,P62913,2
P30044,Q99497,2
P52948,Q9BW27,2
P62266,P62913,2
P49902,Q86TA1,2
P24928,Q10570,2
P08621,Q12874,2
P51965,Q96J02,2
O75665,Q9P209,2
P04049,Q13526,2
P25398,P42766,2
Q9ULQ0,Q9Y6E0,2
Q96J02,Q9NZC7,2
P18124,P62280,2
P02545,P27348,2
O14920,Q00839,2
P07900,Q71U36,2
Q5RKV6,Q9NQT4,2
P27635,P35268,2
P11940,P18124,2
O14530,Q7Z6Z7,2
Q9Y399,Q9Y3D3,2
Q12933,Q8WWZ3,2
Q7L590,Q9Y4B6,2
P14174,P40337,2
Q92667,Q99417,2
Q9UJX3,Q9UM11,2
P18124,P62829,2
Q9BUR4,Q9NY12,2
P08865,P46777,2
P26599,Q00839,2
P24928,Q14676,2
P23528,Q01518,2
P07355,P12004,2
P62942,Q8N122,2
Q9NZD8,Q9UI14,2
P62714,Q16204,2
P33993,Q9UBD5,2
P54198,Q9NVP2,2
P51531,P51608,2
P46778,P62244,2
Q4LE39,Q9H0E3,2
P02545,P19338,2
Q02878,Q9UNX3,2
O60870,P27694,2
Q9H0E9,Q9NPF5,2
Q13547,Q9NP50,2
P29590,Q9Y618,2
P05388,P61247,2
P43686,P54578,2
P34932,Q99497,2
O75400,Q9NRR5,2
P62995,P63104,2
P61289,Q14781,2
Q15170,Q9Y4C1,2
P26368,P61978,2
O43765,Q7L5D6,2
Q99497,Q9BXM7,2
O95983,Q8TDI0,2
P39023,Q02543,2
O75030,Q9UJU2,2
Q96BT7,Q9UI30,2
Q14197,Q8IXM3,2
Q8TF42,Q92567,2
P62877,Q96L50,2
P38606,Q9UI12,2
P61077,Q8ND25,2
Q14686,Q9UMN6,2
P28072,Q9UNM6,2
Q969H0,Q9NVC6,2
O75376,Q13573,2
P57740,Q9UKX7,2
P42574,Q14247,2
P62888,Q02878,2
P62877,Q92990,2
P61513,P84098,2
P42766,P62241,2
P27708,P35998,2
P35998,Q9UMX0,2
O00257,Q8NDX5,2
P05412,P23511,2
P62937,P78362,2
P61247,P84098,2
O00429,Q9GZY8,2
P32969,P62917,2
P13861,Q99996,2
Q15046,Q6PI48,2
P08238,Q13617,2
P25398,P61513,2
P30050,P62913,2
Q13620,Q9C0C7,2
P15923,Q15717,2
P46778,P62829,2
O00255,P19838,2
Q96DE5,Q9UJX4,2
Q15393,Q9Y3B4,2
O00487,Q16401,2
Q86SE9,Q9HC52,2
P08865,P18124,2
P08865,P61513,2
P46777,P68400,2
Q13084,Q9NP92,2
Q13523,Q15029,2
P14866,P67809,2
O43491,P61981,2
Q8N488,Q93009,2
O94782,Q96QE3,2
O14497,Q92784,2
P46734,Q9UL54,2
O14974,P62140,2
O14980,Q99816,2
P06493,P30281,2
O00232,Q16401,2
P50914,P62917,2
P50613,Q92759,2
O95456,P25787,2
P32969,P62241,2
P15531,Q96HA8,2
Q14562,Q9BZJ0,2
Q08379,Q7Z3B3,2
P11441,Q92995,2
O00410,Q92973,2
P04792,Q8TCS8,2
P62263,Q02543,2
O43290,Q12874,2
Q96CS2,Q99871,2
O15514,P36954,2
O14979,Q9UKB1,2
Q15532,Q92925,2
P50914,Q02878,2
P63151,Q96E09,2
P07900,P50613,2
P11532,Q14118,2
O95466,P12956,2
O43251,P52597,2
P25490,Q15796,2
P15880,P61313,2
P14373,Q96FN4,2
Q15019,Q9UHD8,2
P62081,Q02543,2
O15145,P47755,2
P98170,Q15717,2
P20618,P43686,2
P52815,Q9BYD6,2
Q8TD31,Q9Y2I6,2
O43150,Q96B97,2
P09651,P60709,2
O15047,P51610,2
O43524,Q93009,2
O15145,Q9P1U1,2
Q15154,Q9NPJ6,2
Q96T88,Q9Y297,2
Q5SW79,Q99661,2
O96013,P31946,2
P78406,Q8N302,2
P46777,P61313,2
Q12905,Q96KR1,2
O95400,Q53GS9,2
O95721,P46459,2
P46934,Q15797,2
O95359,Q14008,2
P62318,Q8TEQ6,2
Q96LR5,Q9UNE7,2
P40939,P55084,2
P49674,Q15154,2
O14920,Q8N122,2
P31689,Q9Y333,2
P11142,P19438,2
O95295,P78537,2
P39023,P62249,2
P06576,P63104,2
P42566,P46940,2
P08865,P50914,2
P23396,P35268,2
P02751,P09211,2
O43236,P37840,2
P52272,Q9UQ35,2
P05387,P62277,2
P33991,Q96HA7,2
P32969,P62424,2
Q8N5N7,Q9NQ50,2
O43242,P28074,2
P49815,Q969U6,2
P40818,Q96CF2,2
P25789,Q13200,2
Q00613,Q13547,2
Q8WVZ9,Q96CB9,2
Q14847,Q15942,2
P40337,P48643,2
P00441,Q99497,2
Q13547,Q92766,2
P25054,Q13033,2
P61289,Q9Y6Q9,2
P60520,Q15717,2
Q12846,Q86Y82,2
P22087,P62913,2
P11142,Q13620,2
P30050,P50914,2
Q8IYF3,Q96FH0,2
Q15428,Q86XP3,2
O75533,P09012,2
P36955,Q96AD5,2
Q8N5I2,Q99816,2
Q9BV38,Q9Y4W2,2
P22681,P62258,2
Q8WUA2,Q93009,2
P12956,Q13426,2
O75400,P08621,2
Q08379,Q8IXS8,2
P14678,P25788,2
P04183,Q13885,2
Q96EZ8,Q9UER7,2
P35268,Q00839,2
P35268,P83731,2
Q13618,Q9UBW8,2
Q9NPG3,Q9Y6J0,2
Q00839,Q13151,2
P41252,Q9NSD9,2
P13984,P19388,2
O15084,Q96CW1,2
P08047,Q05655,2
P27348,Q96PU5,2
P32969,P62249,2
Q9BS16,Q9H3R5,2
Q12824,Q6STE5,2
Q15428,Q15637,2
P42785,Q9NRD1,2
P25490,Q9Y265,2
P18124,P61247,2
Q14103,Q9UKM9,2
P23396,P62899,2
P23443,P45983,2
Q15654,Q9Y4C2,2
Q99871,Q9H6D7,2
Q969G3,Q9P2D1,2
P62993,Q9Y265,2
P55072,Q9Y468,2
P19387,P53803,2
O75446,P85037,2
P25705,P27348,2
P05386,P46782,2
P26373,P35268,2
P61313,P84098,2
P78318,Q99832,2
P42345,P63104,2
P31946,Q96Q42,2
P50750,Q13573,2
O14818,P28062,2
O75081,Q13547,2
P25705,Q9UBS0,2
P21333,Q9UMS6,2
P61353,P62854,2
Q6W2J9,Q8IY57,2
O43524,Q00987,2
P05387,P62081,2
P55735,Q8NFH4,2
Q5VTR2,Q9UQ80,2
P29590,Q92547,2
P11142,Q99459,2
O60763,Q8WVM8,2
P56537,P62244,2
P10599,Q92905,2
Q0D2I5,Q13426,2
P62942,Q14643,2
O94776,P26358,2
Q6FI81,Q9UHB4,2
O75937,Q15428,2
P25398,P62081,2
O43143,Q9Y2X3,2
P05388,Q02543,2
O43290,Q13573,2
P61981,P62995,2
P78362,Q9NWB6,2
Q14694,Q9Y6K9,2
P25787,Q16186,2
Q15691,Q7Z460,2
P61981,Q12802,2
P62993,Q12774,2
O95684,Q15154,2
Q16401,Q9UNM6,2
P11142,Q92598,2
O14654,P31946,2
Q9BUL8,Q9NVK5,2
P25791,Q8IXK0,2
O75694,P02545,2
Q9H9J2,Q9HD33,2
P29590,Q13164,2
Q96GM5,Q9H9H4,2
O96017,P52292,2
P25398,P46783,2
P32969,P61247,2
Q96CS3,Q9UBV2,2
P54105,P62310,2
O14910,Q12959,2
A5D8V6,Q9UK41,2
P23396,P62917,2
Q9BYD2,Q9NRX2,2
O43684,O95071,2
P40763,Q16665,2
P51784,Q13107,2
P06748,P62753,2
O15400,Q96AJ9,2
P06400,Q16539,2
Q96KP1,Q9UPT5,2
P25786,P55072,2
P16104,Q12905,2
P05387,P62753,2
P27635,P42766,2
Q92734,Q9Y5V3,2
P02751,P06396,2
P84077,Q10567,2
Q14457,Q8N5C8,2
P39023,P46777,2
P06400,P55210,2
P05386,P62829,2
P31040,P47985,2
O95619,O96019,2
P55735,Q8WUM0,2
O43242,P25788,2
Q96T76,Q9H9T3,2
Q68E01,Q8N201,2
P78345,Q99575,2
P21860,P68366,2
O43818,Q15269,2
P52272,P84098,2
P45983,Q9UPT6,2
Q13216,Q9UNS2,2
O95402,P36954,2
O00567,Q9BZE4,2
P41743,Q04917,2
P32969,P61513,2
P29353,Q05655,2
A0JLT2,P19388,2
P82650,Q9Y676,2
P05388,P50914,2
P62873,Q9UBI6,2
O96019,Q53TQ3,2
P25789,Q9Y244,2
Q5VYV7,Q8IY92,2
P62424,P63173,2
P61978,Q13151,2
Q16539,Q9Y297,2
P78318,P78371,2
P32969,P61353,2
Q04206,Q9UKB1,2
P35658,P78406,2
Q8WUB8,Q92922,2
P32969,P62913,2
P26368,Q07955,2
O95402,P19387,2
Q02078,Q16539,2
Q04917,Q13625,2
O00287,P48382,2
P62888,Q9Y3U8,2
P05387,P62854,2
Q13618,Q9H0R8,2
O00506,P30153,2
P07437,P68104,2
P22234,P51116,2
Q13444,Q9UKS6,2
P36578,P56537,2
Q9BS18,Q9UJX3,2
Q02833,Q13625,2
P05412,P07197,2
O14802,Q9Y2S0,2
P61586,Q6WCQ1,2
Q15654,Q9H7H0,2
Q9P0U3,Q9Y230,2
P62314,P62318,2
P31946,Q99759,2
Q12789,Q8WUA4,2
P35998,P50990,2
Q15645,Q9NTN9,2
O43399,Q9UBP6,2
Q9H2W6,Q9NYK5,2
Q13351,Q13547,2
P62191,Q14318,2
O14980,Q09161,2
P46777,P62241,2
P06733,P07237,2
Q13315,Q7Z6Z7,2
P31947,P61981,2
P54652,Q92598,2
P49721,Q9Y244,2
P63104,Q9Y2J2,2
Q71F56,Q93074,2
O60934,Q13535,2
P42768,Q8TF74,2
P61981,Q99459,2
Q8NFZ5,Q9Y6K9,2
P21281,Q9Y5K8,2
P01266,P11021,2
O75449,Q13618,2
P14373,Q8TAU3,2
Q9H2G9,Q9H8Y8,2
P56537,P62899,2
Q96SB4,Q9Y383,2
P12931,Q96B97,2
Q08378,Q99598,2
P61077,Q96J02,2
P06730,P14373,2
P14618,Q13526,2
P62258,Q86TI0,2
O94888,Q53G59,2
O43293,Q00987,2
Q92783,Q96J02,2
P05387,P62244,2
O14802,O60264,2
Q5VSL9,Q9Y3A3,2
P51955,Q13042,2
O15111,O43734,2
O75529,Q12962,2
P61313,P62851,2
P14678,P57678,2
O95602,Q9BQG0,2
O00148,O95433,2
Q14203,Q7L1Q6,2
P20248,Q00526,2
P14866,P55060,2
P62753,P63173,2
P30154,Q562F6,2
P46776,P62424,2
Q16576,Q8N5A5,2
Q9BRK4,Q9Y2I6,2
O75400,P68400,2
P25789,P28065,2
P61981,Q9Y2U5,2
P31323,Q99996,2
P26373,P62249,2
P30305,P61981,2
P08621,P62318,2
O43741,O75928,2
P42224,P63244,2
O60645,Q96KP1,2
P41743,Q9BYG4,2
Q14677,Q9UJY4,2
P31749,P45985,2
P20248,Q9Y3Z3,2
P51116,Q96HA1,2
P21333,P46108,2
P49368,P78318,2
P52272,Q92499,2
P32969,Q02878,2
P49918,Q13309,2
O00410,P52294,2
P25791,Q15555,2
Q99496,Q9HCM7,2
P09661,Q13573,2
P46777,Q8TDN6,2
P84103,Q8WXA9,2
P10599,P19838,2
P62328,P68133,2
P25789,P55036,2
P42677,Q00839,2
Q14155,Q96J02,2
Q02878,Q9Y3U8,2
P15880,P62913,2
P13861,Q02952,2
P60484,Q9UNE7,2
P63010,Q14677,2
P17275,P45984,2
P29590,Q6ZNA4,2
P11274,Q07889,2
Q8IUQ4,Q96LR5,2
P36873,Q9H6T3,2
Q8NI60,Q9UI14,2
Q96RL1,Q99728,2
Q9NQ29,Q9UBC1,2
P51965,Q96FW1,2
P05412,Q06481,2
Q9H871,Q9UL63,2
P61247,P61313,2
Q6W2J9,Q93009,2
P46777,P61513,2
P60953,Q15052,2
Q13601,Q9BYG3,2
P18124,P62244,2
P22681,P49023,2
