Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
FBXO4,0.9999,0.8823,0.9853,0.962,0.7858,0.2681,0.0398,0.0506,0.0353,0.0043,0.0
FBXO7,0.9999,0.7256,0.562,0.5407,0.5344,0.2859,0.1123,0.0565,0.02,0.0125,0.0
FEZ2|DKFZp779C2259,0.9999,1.0294,0.8429,0.6542,0.2966,0.173,0.0837,0.0953,0.0742,0.0411,0.0
FKBP7,0.9999,0.9887,0.9733,0.8777,0.9197,0.5827,0.5512,0.3977,0.2472,0.1521,0.0
FLYWCH2,0.9999,1.0704,1.022,0.9576,0.9548,0.6491,0.3992,0.314,0.2396,0.1969,0.0
FNBP1L,0.9999,0.8924,0.909,1.0621,0.7607,0.1252,0.0742,0.049,0.0598,0.0287,0.0
FOPNL,0.9999,0.8908,0.7914,0.7103,0.7253,0.4339,0.3267,0.3399,0.0596,0.0585,0.0
FOXK2,0.9999,0.9752,0.6834,0.3367,0.0988,0.0508,0.0254,0.0254,0.0164,0.0098,0.0
FTSJ1,0.9999,0.9094,0.883,1.0405,0.6468,0.3355,0.2056,0.1168,0.126,0.0209,0.0
GABARAP,0.9999,0.974,1.0317,1.0046,0.8694,0.4421,0.3487,0.1846,0.039,0.0053,0.0
GALT,0.9999,0.9256,0.8941,0.8263,0.7667,0.4754,0.2653,0.1966,0.1136,0.0733,0.0
GC,0.9999,0.916,0.855,0.8143,0.7481,0.644,0.5257,0.4794,0.456,0.3746,0.0
GCC1,0.9999,0.7573,0.4655,0.1578,0.108,0.0709,0.0339,0.0309,0.0225,0.0176,0.0
GEMIN6,0.9999,0.8897,1.0279,1.2799,1.6049,1.417,1.5365,0.6912,0.1033,0.0497,0.0
GGA3,0.9999,1.0016,0.9666,0.778,0.3571,0.1377,0.0747,0.037,0.0458,0.0323,0.0
GGNBP2,0.9999,0.8715,0.8477,0.701,0.7529,0.4336,0.2269,0.1766,0.0932,0.0337,0.0
GLCCI1,0.9999,0.9459,0.9141,0.7529,0.6713,0.4994,0.2697,0.2113,0.1412,0.1375,0.0
GLTP,0.9999,0.8893,1.004,0.9311,0.747,0.2645,0.0523,0.0337,0.0246,0.0147,0.0
