Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
STIP1,0.9999,1.0532,1.1456,1.2567,1.0217,0.4611,0.3483,0.1721,0.1087,0.0859,0.0
STK11,0.9999,0.9456,1.0071,0.9744,0.8695,0.777,0.581,0.4846,0.1858,0.0102,0.0
STK24,0.9999,0.9873,0.921,0.8895,0.8237,0.3836,0.085,0.0952,0.0371,0.0425,0.0
STK3,0.9999,0.8829,0.8531,0.8165,0.7764,0.5579,0.2556,0.0548,0.0033,0.0042,0.0
STK38,0.9999,0.8781,0.777,0.5395,0.063,0.0281,0.0123,0.0122,0.0081,0.0022,0.0
STK38L,0.9999,0.9064,0.8089,0.6028,0.1911,0.0687,0.0397,0.0341,0.0307,0.0139,0.0
STK4,0.9999,0.8919,0.8096,0.8427,0.7562,0.4648,0.293,0.2606,0.2329,0.1011,0.0
STMN1,0.9999,1.0613,1.074,1.0484,1.0623,0.9098,0.7852,0.5879,0.7794,0.4797,0.0
STMN3,0.9999,0.7514,0.9588,0.8956,0.7276,0.5008,0.5617,0.6212,0.7488,0.3988,0.0
STOML2,0.9999,1.1031,0.8534,0.849,0.796,0.8792,1.0719,0.6907,1.6862,0.593,0.0
STON2,0.9999,0.786,0.4303,0.1497,0.0671,0.0396,0.0472,0.0498,0.0092,0.0171,0.0
STRAP,0.9999,0.9499,0.8209,0.654,0.5967,0.5755,0.4821,0.3525,0.1148,0.0183,0.0
STRIP2,0.9999,0.9563,0.8544,0.6845,0.5468,0.2343,0.0577,0.026,0.0265,0.0238,0.0
STRN,0.9999,1.3533,1.111,0.9825,0.9875,0.5833,0.1457,0.0497,0.0341,0.0197,0.0
STRN3,0.9999,0.9018,0.9843,0.7932,0.6587,0.6046,0.288,0.1593,0.1243,0.0281,0.0
STRN4,0.9999,0.9383,0.9209,0.6805,0.524,0.1361,0.1073,0.0512,0.022,0.0302,0.0
STUB1,0.9999,0.9391,0.6618,0.1719,0.1196,0.0604,0.0379,0.0392,0.0292,0.0178,0.0
STX12,0.9999,1.2858,1.0405,0.7931,1.2912,1.1486,0.8213,0.7552,0.3008,0.092,0.0
STX3,0.9999,1.0172,1.072,0.9344,1.2162,0.9576,0.7221,0.4395,0.1918,0.0638,0.0
STX4,0.9999,0.9923,0.9696,0.6586,0.6683,0.2847,0.1712,0.1201,0.0559,0.0134,0.0
STX7,0.9999,0.9883,0.9249,1.0498,1.1493,1.0265,0.9594,0.7177,0.35,0.0425,0.0
STXBP1,0.9999,0.8361,0.7884,0.4042,0.2177,0.1112,0.0661,0.0562,0.0674,0.0244,0.0
STXBP2,0.9999,0.9322,0.768,0.2262,0.1284,0.0812,0.0508,0.0545,0.0432,0.0192,0.0
STXBP3,0.9999,1.0354,0.8473,0.3228,0.0675,0.0381,0.0369,0.022,0.0098,0.0024,0.0
STXBP4,0.9999,0.5964,0.2367,0.2167,0.2632,0.2003,0.0951,0.0738,0.1056,0.0255,0.0
STXBP5,0.9999,1.0056,1.0369,0.8106,0.5425,0.2705,0.1083,0.0788,0.0673,0.0517,0.0
SUB1,0.9999,0.975,1.0954,1.1053,0.8629,0.6397,0.2588,0.1577,0.0773,0.0534,0.0
SUCLA2,0.9999,1.2982,1.1273,1.1463,0.3194,0.0717,0.0394,0.0314,0.0252,0.0071,0.0
SUCLG1,0.9999,1.2678,0.9237,1.0516,0.8088,0.1554,0.0332,0.0342,0.0216,0.0264,0.0
SUCLG2,0.9999,1.155,1.0244,1.3052,1.1425,0.2453,0.0945,0.0719,0.0647,0.0188,0.0
SUGP1,0.9999,0.9156,0.5499,0.576,0.4652,0.3278,0.0944,0.1597,0.1339,0.0253,0.0
SUGT1,0.9999,1.0118,0.9098,0.8567,0.6693,0.4159,0.1184,0.0453,0.0266,0.0117,0.0
SULT1A2|SULT1A1|SULT1A3|SULT1A4,0.9999,0.824,0.9573,0.8946,0.4503,0.157,0.1336,0.1246,0.0955,0.0422,0.0
SUMF2,0.9999,0.9859,0.9011,0.9466,0.5642,0.187,0.0677,0.0783,0.082,0.0407,0.0
SUMO1,0.9999,0.832,0.6237,0.3808,0.4668,0.4151,0.2925,0.2133,0.1854,0.0908,0.0
SUMO3,0.9999,1.1312,0.9353,0.5946,0.6134,0.6042,0.5252,0.352,0.4314,0.2138,0.0
SUOX,0.9999,0.9066,0.7841,0.8899,0.7796,0.3736,0.2553,0.2183,0.18,0.0579,0.0
SUPT16H,0.9999,1.1272,0.8157,0.3992,0.1549,0.0872,0.0288,0.0284,0.0372,0.0135,0.0
SUPT4H1,0.9999,1.0379,1.0255,0.8598,0.4598,0.2468,0.1715,0.1036,0.0605,0.0589,0.0
SUPT5H,0.9999,1.006,1.0584,0.8715,0.4327,0.1291,0.0773,0.0717,0.0322,0.0098,0.0
SUPT6H,0.9999,1.3241,1.2725,0.8076,0.3672,0.1562,0.1188,0.065,0.0338,0.0236,0.0
SUPV3L1,0.9999,1.0833,0.8916,0.9109,0.923,0.4749,0.1276,0.0727,0.0299,0.0044,0.0
SURF2,0.9999,0.8515,1.0769,0.8894,0.6559,0.3624,0.2218,0.0687,0.0523,0.0945,0.0
SWAP70,0.9999,0.9154,0.9377,0.9886,0.8765,0.5681,0.1231,0.0281,0.0136,0.0085,0.0
