Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
###RWDD1###|RWDD1,0.9999,0.8029,0.7387,0.8582,0.9898,0.6433,0.1818,0.1442,0.0338,0.0524,0.0
###TEKT2###|MRPL50,0.9999,204.4955,0.0,25.293,1.2222,2.5336,0.0,5.5426,0.0,6.8555,0.0
AACS,0.9999,0.956,0.571,0.1965,0.1568,0.1147,0.0987,0.0833,0.0376,0.0322,0.0
AAK1,0.9999,0.9335,0.8637,0.7639,0.5531,0.251,0.0881,0.0896,0.0726,0.0179,0.0
AAMDC,0.9999,0.9244,0.9007,1.0858,0.9836,0.6758,0.4795,0.4018,0.3355,0.2089,0.0
AARS,0.9999,1.0213,0.9234,0.9995,0.7033,0.3732,0.0576,0.0244,0.0154,0.0067,0.0
AARS2,0.9999,1.1406,0.8397,0.6596,0.2495,0.0978,0.047,0.038,0.0273,0.0143,0.0
AARSD1,0.9999,1.0382,1.0436,0.9551,0.3241,0.0484,0.0121,0.0134,0.0051,0.0001,0.0
AASDH,0.9999,0.9379,0.916,0.7205,0.3988,0.2018,0.0843,0.096,0.0307,0.0103,0.0
AASDHPPT,0.9999,0.974,0.9868,1.0236,0.7455,0.3385,0.0423,0.0491,0.006,0.0085,0.0
ABCE1,0.9999,0.9365,1.0173,1.0402,0.9691,0.9531,0.8556,0.7128,0.576,0.0825,0.0
ABCF1,0.9999,0.9293,0.9848,0.9465,0.58,0.3172,0.1008,0.0781,0.0621,0.036,0.0
ABCF2,0.9999,0.9607,0.9278,0.8394,0.5852,0.233,0.0848,0.0284,0.0519,0.0119,0.0
ABCF3,0.9999,0.7649,0.1977,0.0513,0.0417,0.0267,0.0171,0.0155,0.0157,0.0047,0.0
ABHD10,0.9999,1.135,0.9963,1.0563,1.2386,1.7458,1.8163,1.6878,1.2975,0.1304,0.0
ABHD11,0.9999,1.1861,0.9344,0.6828,0.3243,0.1681,0.0603,0.0335,0.0146,0.0059,0.0
ABHD14A|ACY1,0.9999,1.1497,1.1564,0.9795,0.7883,0.7134,0.6616,0.4864,0.5402,0.41,0.0
ABHD14B,0.9999,0.9756,0.8225,0.8737,0.7764,0.3017,0.1542,0.0453,0.1695,0.0248,0.0
ABL1,0.9999,0.7595,0.4584,0.2856,0.1369,0.0802,0.0603,0.032,0.0452,0.0134,0.0
ABL2,0.9999,0.949,0.6589,0.2175,0.1354,0.0811,0.0447,0.0429,0.019,0.005,0.0
ACAA1,0.9999,0.9332,0.9415,1.0037,1.046,0.7909,0.7203,0.4034,0.0664,0.0059,0.0
ACAA2,0.9999,1.1014,0.9528,1.2514,1.4182,1.5108,1.4332,1.2214,1.4184,0.9633,0.0
ACACA,0.9999,1.0157,0.8948,0.2221,0.1379,0.0934,0.0591,0.0375,0.0229,0.0116,0.0
ACAD8,0.9999,1.0551,0.9937,0.8461,0.8525,0.5939,0.3982,0.2028,0.1176,0.0606,0.0
ACAD9,0.9999,1.093,0.8329,1.0955,0.8667,0.2058,0.1201,0.0857,0.0688,0.0313,0.0
ACADM,0.9999,1.1939,1.0657,1.2459,1.2329,1.0593,0.69,0.2293,0.0653,0.042,0.0
ACADS,0.9999,1.2808,1.0405,1.1088,1.1649,0.7718,0.347,0.1861,0.0433,0.005,0.0
ACADSB,0.9999,1.2805,1.0475,1.2982,1.0092,0.4496,0.2158,0.1501,0.0731,0.0113,0.0
ACADVL,0.9999,1.2333,1.1555,1.3636,1.3277,1.0323,0.7049,0.3422,0.0758,0.0306,0.0
ACAP2,0.9999,0.9445,0.9516,0.7457,0.2836,0.0848,0.0435,0.04,0.0361,0.0114,0.0
ACAT1,0.9999,1.0289,0.8885,1.158,1.2784,1.152,0.8029,0.207,0.0443,0.0142,0.0
ACAT2,0.9999,1.1163,1.1066,1.0282,0.9484,0.9154,0.7977,0.679,0.5244,0.0333,0.0
ACBD3,0.9999,1.0574,1.0075,0.9218,0.4804,0.1514,0.0808,0.0431,0.033,0.0082,0.0
ACIN1,0.9999,1.061,1.3626,1.2486,1.3878,0.7107,0.4689,0.3535,0.4703,0.577,0.0
ACLY,0.9999,1.0461,1.1832,1.1019,0.9847,0.3466,0.0457,0.034,0.0319,0.0091,0.0
ACN9,0.9999,1.1962,1.0424,0.7885,0.4525,0.2426,0.0595,0.0241,0.0189,0.0007,0.0
ACO1,0.9999,1.0236,1.0701,1.0807,0.848,0.6635,0.2203,0.0701,0.0301,0.0113,0.0
ACO2,0.9999,1.1903,1.0365,1.1318,0.5727,0.1127,0.0565,0.0507,0.0353,0.0191,0.0
ACOT13,0.9999,0.9931,1.0335,0.9724,0.8747,0.9806,0.8309,0.7468,0.9317,0.7837,0.0
ACOT7,0.9999,0.9227,0.8434,0.8823,0.7598,0.7181,0.5982,0.5237,0.4934,0.0712,0.0
ACOT9,0.9999,1.297,1.0495,1.5629,1.8088,0.6002,0.2664,0.1272,0.0743,0.0363,0.0
ACOX1,0.9999,0.9888,0.9818,0.9471,1.2989,1.12,1.2598,0.8618,0.9547,0.7456,0.0
ACP1,0.9999,0.8509,0.7921,0.3756,0.1569,0.0826,0.0584,0.057,0.0145,0.0024,0.0
ACP2,0.9999,1.0318,0.9275,0.9185,1.0177,0.8205,0.7381,0.4352,0.1575,0.0375,0.0
ACSF3,0.9999,1.171,0.9327,0.6064,0.1672,0.046,0.0312,0.0134,0.0057,0.0002,0.0
ACSL3,0.9999,1.0096,0.8675,0.862,0.5506,0.2631,0.2493,0.0868,0.0642,0.0653,0.0
ACSM3,0.9999,1.0694,0.6313,0.3213,0.1109,0.0634,0.0336,0.025,0.0165,0.0016,0.0
ACSS2,0.9999,1.0157,1.0595,1.0046,0.685,0.1589,0.0612,0.0487,0.0215,0.0172,0.0
ACTA2|ACTG2|ACTC1|ACTA1,0.9999,0.7657,0.7406,1.0297,1.1404,0.7947,0.4452,0.3324,0.3157,0.2875,0.0
ACTB|ACTG1,0.9999,1.0107,1.0131,0.984,0.9725,0.7557,0.4452,0.2394,0.2345,0.1735,0.0
ACTG1,0.9999,1.0974,1.0959,0.9653,0.6702,0.7024,0.4893,0.2992,0.1088,0.0682,0.0
ACTL6A,0.9999,1.1468,1.105,0.8705,0.6371,0.2553,0.1103,0.0866,0.0313,0.0164,0.0
ACTN1,0.9999,1.0244,1.0768,1.0381,0.9951,0.9637,0.7733,0.4049,0.015,0.0145,0.0
ACTN4,0.9999,0.9994,1.0916,1.0744,0.9336,0.929,0.7488,0.4449,0.0172,0.008,0.0
ACTR10,0.9999,1.0183,0.9937,1.0425,0.9966,0.743,0.5068,0.3315,0.2795,0.1767,0.0
ACTR1A,0.9999,1.0422,1.0452,1.0677,1.1747,0.6106,0.5153,0.3463,0.143,0.0103,0.0
ACTR1B,0.9999,1.1422,1.1183,1.3576,1.3261,0.7458,0.7532,0.411,0.1446,0.0397,0.0
ACTR2,0.9999,0.9677,0.9854,0.8908,0.7492,0.582,0.3699,0.2401,0.1246,0.0076,0.0
ACTR3,0.9999,1.0682,1.1735,1.0704,0.9811,0.79,0.5488,0.3072,0.1608,0.0294,0.0
ACYP2,0.9999,0.9195,0.8036,0.9382,0.9302,0.59,0.3095,0.1216,0.0565,0.0716,0.0
ADA,0.9999,0.9477,0.9068,0.9156,0.9546,0.8188,0.7143,0.5973,0.579,0.1103,0.0
ADAL,0.9999,0.9284,0.9124,0.9328,0.9618,0.8386,0.7727,0.6891,0.7549,0.2366,0.0
ADAR,0.9999,1.13,1.0047,0.573,0.4444,0.2745,0.1639,0.1132,0.1239,0.06,0.0
ADD1,0.9999,0.9762,1.0439,1.0517,0.8836,0.5905,0.4317,0.2901,0.1929,0.1351,0.0
ADD2,0.9999,0.9905,1.004,0.9367,0.8442,0.5876,0.4011,0.2713,0.1548,0.0677,0.0
ADD3,0.9999,0.9198,1.0468,0.9265,0.9317,0.5066,0.3355,0.2276,0.1423,0.107,0.0
ADH5,0.9999,0.9695,0.9535,1.0693,1.0649,0.9742,0.9212,0.7984,0.672,0.1144,0.0
ADI1,0.9999,0.9578,0.7723,0.6941,0.4078,0.1703,0.0836,0.0749,0.0469,0.035,0.0
ADK,0.9999,0.9431,0.9449,1.0514,0.9554,0.8096,0.6147,0.4306,0.032,0.0062,0.0
ADO,0.9999,0.9702,0.9005,0.9507,0.8128,0.6327,0.5102,0.38,0.2156,0.0603,0.0
ADPRHL2,0.9999,1.0374,1.0153,1.0886,0.7996,0.5953,0.2235,0.0579,0.0476,0.0492,0.0
ADRBK1,0.9999,0.861,0.9126,0.845,0.5992,0.2315,0.1251,0.1766,0.0407,0.0251,0.0
ADRM1,0.9999,1.0158,1.0695,0.9249,0.7423,0.2501,0.0968,0.0909,0.0433,0.0636,0.0
ADSL,0.9999,0.9271,0.985,1.0487,1.0799,0.9796,0.9476,0.881,0.2739,0.0232,0.0
ADSS,0.9999,0.96,0.9741,0.9462,0.8925,0.7537,0.5944,0.2897,0.103,0.0501,0.0
AGAP1,0.9999,0.9019,0.7681,0.6736,0.4292,0.5945,0.5737,0.2652,0.039,0.0539,0.0
AGAP3,0.9999,0.8756,0.6322,0.3173,0.25,0.132,0.0887,0.0233,0.0453,0.0071,0.0
AGFG1,0.9999,0.9989,0.9036,0.8858,0.7595,0.467,0.1105,0.0622,0.0199,0.0228,0.0
AGL,0.9999,1.0572,1.1568,0.8516,0.3466,0.074,0.0882,0.0649,0.0296,0.0081,0.0
AGO2,0.9999,0.9787,0.9747,0.6291,0.3931,0.2477,0.2325,0.2107,0.299,0.1305,0.0
AGO3,0.9999,0.8719,0.7971,0.6379,0.4476,0.3799,0.2551,0.1113,0.2513,0.047,0.0
AHCY,0.9999,0.9344,0.9566,1.0152,1.0146,0.9186,0.905,0.7581,0.7978,0.2636,0.0
AHCYL1,0.9999,0.9803,0.9522,0.7972,0.5121,0.3656,0.2322,0.1572,0.091,0.0124,0.0
AHCYL2,0.9999,0.9897,1.0469,0.8175,0.6964,0.5637,0.4674,0.4159,0.372,0.1063,0.0
AHNAK,0.9999,0.918,0.9017,0.7217,0.6223,0.5101,0.4081,0.3886,0.3473,0.5266,0.0
AHSA1,0.9999,0.8841,0.843,0.85,0.5621,0.1656,0.0744,0.0609,0.0247,0.0101,0.0
AIFM1,0.9999,0.7487,0.7886,0.9911,1.3734,1.4334,2.7207,3.0355,1.3858,0.0398,0.0
AIMP1,0.9999,1.1003,1.003,0.4182,0.1214,0.0723,0.0559,0.0435,0.0326,0.0217,0.0
AIMP2,0.9999,0.9975,0.7705,0.3529,0.2207,0.1684,0.1058,0.0881,0.0837,0.0362,0.0
AK1,0.9999,0.9276,0.8912,0.8053,0.4321,0.1248,0.0484,0.041,0.0246,0.0173,0.0
AK2,0.9999,1.0631,1.0061,1.145,1.2159,1.2477,1.1644,0.9876,0.5209,0.0295,0.0
AK3,0.9999,1.146,0.9766,1.278,1.2465,1.1779,0.7201,0.2141,0.0112,0.0161,0.0
AK6,0.9999,0.9568,0.7699,0.3086,0.1115,0.0877,0.0606,0.037,0.0324,0.0099,0.0
AKAP8L,0.9999,0.8592,0.5993,0.2301,0.0627,0.0563,0.021,0.0277,0.0229,0.0061,0.0
AKAP9,0.9999,1.0016,0.7251,0.296,0.1324,0.0436,0.0459,0.0597,0.0373,0.0332,0.0
AKR1A1,0.9999,0.9676,0.9827,1.0372,0.8445,0.2654,0.082,0.1191,0.0469,0.0332,0.0
AKR1B1,0.9999,1.0839,0.9809,1.0247,0.9294,0.8274,0.458,0.104,0.0379,0.0224,0.0
AKR1C1,0.9999,0.9404,0.7669,0.2749,0.1627,0.1031,0.0944,0.0649,0.0375,0.0206,0.0
AKR1C3,0.9999,0.8698,0.8816,0.8795,0.5374,0.3175,0.1874,0.1928,0.1521,0.0186,0.0
AKR7A2,0.9999,1.0192,0.9808,1.0188,0.904,0.518,0.0638,0.0307,0.0241,0.0075,0.0
AKT1,0.9999,0.9914,0.661,0.4071,0.1148,0.0497,0.0293,0.0331,0.0373,0.015,0.0
AKT1S1,0.9999,0.8552,0.9167,1.1143,1.2443,0.961,0.5669,0.3186,0.4576,0.1312,0.0
AKT2,0.9999,0.9128,0.8646,0.7152,0.3763,0.1272,0.0619,0.0794,0.0253,0.0038,0.0
ALAD,0.9999,0.9668,0.8579,0.8386,0.9347,0.7536,0.732,0.6058,1.0923,0.8505,0.0
ALB,0.9999,1.0867,1.0063,1.0427,1.0146,0.8051,0.7147,0.6024,0.6953,0.5353,0.0
ALDH18A1,0.9999,1.0986,1.091,1.1967,1.1268,0.5588,0.2367,0.1132,0.0861,0.0507,0.0
ALDH1A1,0.9999,1.0122,1.0283,1.0025,0.9924,0.8543,0.6675,0.4869,0.5347,0.2375,0.0
ALDH1A2,0.9999,0.8946,0.8635,0.9743,1.0314,0.8128,0.6633,0.5607,0.4026,0.0916,0.0
ALDH1B1,0.9999,1.3749,1.2748,1.2392,1.1595,0.6841,0.1733,0.0597,0.0421,0.0094,0.0
ALDH1L2,0.9999,1.0748,0.8306,0.8139,0.4749,0.196,0.0772,0.0492,0.0381,0.0192,0.0
ALDH2,0.9999,1.1819,1.0113,1.3277,1.3284,0.8914,0.2113,0.0934,0.0691,0.026,0.0
ALDH4A1,0.9999,1.2561,0.9766,1.0983,1.0103,0.5113,0.1755,0.0629,0.0548,0.0549,0.0
ALDH5A1,0.9999,1.088,1.0404,1.1985,1.324,1.2192,1.2293,0.7413,0.0678,0.0672,0.0
ALDH6A1,0.9999,1.1489,0.8978,0.8511,0.5728,0.2378,0.1092,0.0977,0.0605,0.0267,0.0
ALDH9A1,0.9999,0.9662,0.9564,1.0469,1.0162,0.8151,0.6161,0.3473,0.0944,0.0154,0.0
ALDOA,0.9999,0.9459,1.0221,0.984,0.9661,0.8225,0.8128,0.6516,0.6059,0.0976,0.0
ALDOC,0.9999,0.9603,0.9713,0.9999,0.9591,0.8865,0.8156,0.6886,0.4092,0.0313,0.0
ALKBH3,0.9999,1.0013,0.98,0.6957,0.7053,0.3864,0.434,0.1778,0.3479,0.1833,0.0
ALKBH4,0.9999,0.9401,0.8862,0.6741,0.2798,0.1309,0.2273,0.3955,0.0695,0.0475,0.0
ALKBH5,0.9999,1.1664,1.0904,0.6467,0.4205,0.3188,0.3441,0.2377,0.1878,0.1863,0.0
ALKBH6,0.9999,0.9863,0.8812,0.6029,0.3254,0.2992,0.2455,0.2665,0.1977,0.1517,0.0
ALKBH8,0.9999,1.0064,0.7818,0.457,0.229,0.1354,0.0914,0.0824,0.0431,0.0154,0.0
AMMECR1,0.9999,0.8892,0.6705,0.284,0.1722,0.1393,0.0661,0.0405,0.0253,0.0129,0.0
AMPD2,0.9999,1.0007,1.0969,1.1318,1.2753,1.0402,0.7521,0.3971,0.0775,0.0258,0.0
AMPD3,0.9999,2.312,1.5247,1.2217,0.7669,0.6995,0.1618,0.0591,0.0685,0.0222,0.0
AMZ2,0.9999,1.0497,0.7916,0.3689,0.2843,0.1609,0.1441,0.0961,0.0918,0.0422,0.0
ANAPC2,0.9999,1.0684,1.1086,0.9071,0.6535,0.2499,0.1107,0.0738,0.0383,0.0227,0.0
ANAPC5,0.9999,1.0416,1.0147,0.8785,0.7453,0.3151,0.1062,0.0511,0.0432,0.0033,0.0
ANAPC7,0.9999,0.8662,0.9062,0.9048,0.6838,0.3481,0.1697,0.1166,0.0176,0.0051,0.0
ANK1,0.9999,0.8383,0.4276,0.1065,0.0786,0.05,0.0426,0.0301,0.0249,0.0073,0.0
ANK3,0.9999,0.8947,1.0015,0.6419,0.3943,0.1868,0.0701,0.0476,0.0626,0.0548,0.0
ANKFY1,0.9999,0.9824,0.8285,0.1397,0.0642,0.0245,0.0217,0.0222,0.0175,0.0048,0.0
ANKMY2,0.9999,0.9505,0.9235,0.9205,0.4759,0.1016,0.0321,0.0247,0.0155,0.0046,0.0
ANKRD13A,0.9999,1.0513,1.0663,0.8934,0.5336,0.1515,0.0745,0.0619,0.0368,0.0292,0.0
ANKRD17,0.9999,0.979,0.825,0.5014,0.2044,0.1318,0.0981,0.064,0.0285,0.0418,0.0
ANKRD27,0.9999,0.7322,0.3757,0.0849,0.0582,0.0384,0.0719,0.0132,0.0068,0.0076,0.0
ANKRD28,0.9999,0.997,1.1084,0.8936,0.8508,0.4808,0.0902,0.0702,0.0534,0.0112,0.0
ANKRD50,0.9999,0.9954,1.0115,0.4532,0.4091,0.2143,0.1533,0.0975,0.0655,0.0483,0.0
ANKS1A,0.9999,0.8689,0.5518,0.3103,0.2659,0.1235,0.1395,0.1236,0.0513,0.0067,0.0
ANLN,0.9999,0.9099,0.7841,0.167,0.0791,0.0692,0.0504,0.0369,0.0314,0.0204,0.0
ANP32A,0.9999,0.9195,0.996,1.1542,1.1685,0.9758,0.6343,0.4197,0.3882,0.2217,0.0
ANP32B,0.9999,0.9934,1.0309,1.0481,0.905,0.5916,0.1049,0.0341,0.0266,0.0129,0.0
ANP32E,0.9999,0.6552,0.5828,0.3035,0.2488,0.1528,0.1046,0.086,0.0543,0.0102,0.0
ANPEP,0.9999,0.9649,1.0762,0.8903,0.6364,0.398,0.3859,0.212,0.2965,0.1452,0.0
ANTXR2,0.9999,1.0072,1.062,0.6258,0.8018,0.3202,0.2782,0.1718,0.1954,0.0824,0.0
ANXA1,0.9999,1.0352,1.0821,0.8233,0.1026,0.0474,0.0277,0.0226,0.0143,0.0053,0.0
ANXA11,0.9999,0.9802,0.9777,0.7853,0.305,0.0808,0.0514,0.0377,0.029,0.0079,0.0
ANXA2,0.9999,0.9797,0.9498,0.9694,0.8991,0.4749,0.0758,0.0659,0.0532,0.0355,0.0
ANXA3,0.9999,0.9826,1.019,1.021,0.798,0.3289,0.0858,0.0639,0.0602,0.038,0.0
ANXA4,0.9999,0.9495,0.9465,0.7922,0.1517,0.0481,0.0374,0.0261,0.0258,0.0064,0.0
ANXA5,0.9999,0.9985,0.984,0.9053,0.2698,0.062,0.0396,0.0241,0.0166,0.0056,0.0
ANXA6,0.9999,0.9357,0.8874,0.8577,0.4662,0.1331,0.0607,0.0481,0.0243,0.0266,0.0
ANXA7,0.9999,0.9753,1.0169,1.037,0.7273,0.1366,0.0766,0.059,0.0493,0.0263,0.0
AP1B1,0.9999,0.9323,0.8701,0.6595,0.3392,0.2666,0.2689,0.1056,0.0331,0.015,0.0
AP1G1,0.9999,0.9573,0.9204,0.5745,0.2259,0.0956,0.0467,0.031,0.0247,0.0133,0.0
AP1M1,0.9999,1.1544,1.0193,0.6139,0.3377,0.2435,0.2375,0.0847,0.019,0.0016,0.0
AP1S1,0.9999,0.9415,0.8262,0.7537,0.4372,0.2188,0.1428,0.1167,0.0433,0.0289,0.0
AP1S2,0.9999,0.8372,1.0281,0.6548,0.6141,0.1243,0.1513,0.1878,0.0,0.1007,0.0
AP2A1,0.9999,0.9598,0.954,0.7913,0.8054,0.42,0.1181,0.0754,0.0417,0.0159,0.0
AP2A2,0.9999,0.9355,0.9499,0.8812,0.7684,0.3652,0.0986,0.0822,0.0318,0.0172,0.0
AP2B1,0.9999,1.0058,0.981,0.917,0.8784,0.4769,0.1273,0.0668,0.0342,0.013,0.0
AP2M1,0.9999,0.9857,1.0099,0.953,1.0109,0.6027,0.1759,0.0947,0.0457,0.025,0.0
AP2S1,0.9999,0.8029,0.8266,0.7189,0.7558,0.3842,0.1248,0.0742,0.0709,0.018,0.0
AP3B1,0.9999,0.9836,1.0674,0.724,0.3644,0.0629,0.0433,0.035,0.0298,0.0106,0.0
AP3D1,0.9999,0.8973,1.1144,0.7767,0.362,0.0624,0.043,0.03,0.0242,0.0092,0.0
AP3M1,0.9999,0.8864,0.9569,0.6703,0.4366,0.1247,0.0539,0.0737,0.0541,0.0383,0.0
AP3S1,0.9999,0.761,0.7656,0.6731,0.514,0.1731,0.1111,0.0941,0.0674,0.0562,0.0
AP4B1,0.9999,0.9091,0.7342,0.4819,0.2317,0.0957,0.0361,0.0238,0.0059,0.0168,0.0
AP4E1,0.9999,0.9655,0.8446,0.3857,0.0515,0.0204,0.0042,0.0187,0.0092,0.0027,0.0
AP4M1,0.9999,0.7718,0.6766,0.4069,0.2159,0.1278,0.1034,0.1213,0.022,0.03,0.0
AP4S1,0.9999,0.9453,0.9289,0.6476,0.3642,0.2163,0.1081,0.0751,0.0684,0.0247,0.0
AP5S1,0.9999,0.8718,0.7902,0.7917,0.726,0.399,0.1856,0.2066,0.1384,0.0443,0.0
APAF1,0.9999,1.0199,0.9227,0.5758,0.1957,0.0927,0.058,0.0613,0.0271,0.0151,0.0
APEH,0.9999,1.0057,1.0285,1.0801,1.1123,0.9938,0.7932,0.7096,0.515,0.1156,0.0
API5,0.9999,0.9595,1.0324,1.2201,1.4076,0.9612,0.1114,0.0555,0.0389,0.0267,0.0
APIP,0.9999,1.0675,1.0587,1.0472,1.0311,0.9369,0.7958,0.739,0.9816,0.9003,0.0
APITD1,0.9999,1.0351,1.0778,1.0775,0.6423,0.1686,0.0801,0.0514,0.0309,0.008,0.0
APOA1BP,0.9999,1.04,1.0492,0.9479,0.9426,0.924,0.7598,0.7249,0.8015,0.5846,0.0
APOB,0.9999,0.915,0.8438,0.9739,0.9616,0.6932,0.6361,0.5014,0.6135,0.5215,0.0
APOBEC3G,0.9999,0.9322,0.9393,0.768,0.6634,0.5759,0.4177,0.2974,0.3332,0.3882,0.0
APOBR,0.9999,0.9181,0.9142,1.0961,0.9998,0.7641,0.7014,0.6405,0.415,0.5739,0.0
APPL1,0.9999,1.0304,0.9778,0.9478,0.4212,0.1841,0.0828,0.0818,0.0281,0.0023,0.0
APRT,0.9999,1.0077,0.9421,1.066,1.0409,0.9539,0.8783,0.8837,1.0092,0.9448,0.0
AQR,0.9999,0.9732,0.4697,0.315,0.2641,0.1142,0.066,0.0394,0.0309,0.0218,0.0
ARAF,0.9999,0.8508,0.787,0.5231,0.2705,0.1849,0.1287,0.0979,0.0663,0.0458,0.0
ARAP1,0.9999,0.8896,0.6915,0.1558,0.0674,0.0406,0.0338,0.032,0.0205,0.0105,0.0
ARCN1,0.9999,0.9607,1.09,0.9687,0.7706,0.2914,0.0539,0.0327,0.0182,0.0093,0.0
ARF1,0.9999,1.1717,1.2047,1.3577,1.1036,1.1921,1.1569,1.1393,1.285,1.0039,0.0
ARF4,0.9999,0.8714,0.7971,0.8235,0.763,0.3132,0.082,0.0328,0.0379,0.0183,0.0
ARF5,0.9999,0.864,0.8402,0.8623,0.8339,0.6146,0.4836,0.303,0.1623,0.087,0.0
ARFGAP1,0.9999,1.0317,0.9871,0.6892,0.243,0.0389,0.0008,0.0081,0.0069,0.0241,0.0
ARFGAP2,0.9999,0.9245,0.8535,0.6693,0.2785,0.0682,0.0502,0.0386,0.0152,0.0083,0.0
ARFGAP3,0.9999,0.913,0.8102,0.8059,0.5273,0.2299,0.082,0.0603,0.0327,0.0119,0.0
ARFGEF1,0.9999,1.1117,1.021,0.7565,0.3674,0.1266,0.0663,0.057,0.0491,0.0254,0.0
ARFGEF2,0.9999,1.0031,1.0175,0.7395,0.2495,0.1042,0.0716,0.0297,0.0156,0.0091,0.0
ARFIP1,0.9999,0.9483,0.8144,0.5115,0.1382,0.0639,0.031,0.0186,0.0114,0.0065,0.0
ARFIP2,0.9999,1.0724,1.0304,0.7762,0.2979,0.0631,0.0112,0.0244,0.016,0.0028,0.0
ARG2,0.9999,1.0864,1.0212,1.0795,1.326,1.2299,1.2747,0.99,0.9247,0.2039,0.0
ARGLU1,0.9999,0.6525,0.7855,0.4859,0.3872,0.305,0.2115,0.1082,0.1427,0.4828,0.0
ARHGAP1,0.9999,0.9084,0.9089,0.9312,0.7112,0.1827,0.0762,0.0806,0.0407,0.0084,0.0
ARHGAP17,0.9999,0.9233,0.8042,0.4242,0.105,0.0623,0.0472,0.0335,0.0252,0.0095,0.0
ARHGAP18,0.9999,0.9951,0.9877,0.7709,0.2098,0.1347,0.0698,0.0715,0.0447,0.0257,0.0
ARHGAP25,0.9999,0.8779,0.7835,0.3281,0.1497,0.0905,0.065,0.0441,0.0329,0.0097,0.0
ARHGAP35,0.9999,0.8906,0.5627,0.1218,0.0971,0.056,0.0383,0.0269,0.0133,0.0136,0.0
ARHGAP4,0.9999,0.9172,0.7403,0.2725,0.2295,0.1318,0.0956,0.0887,0.0826,0.0464,0.0
ARHGAP6,0.9999,0.918,0.7472,0.2136,0.0942,0.0784,0.0538,0.0419,0.0321,0.0027,0.0
ARHGDIA,0.9999,1.0194,1.0515,1.0582,0.7894,0.4467,0.0848,0.0464,0.0422,0.0166,0.0
ARHGDIB,0.9999,1.0179,0.9394,1.0172,0.7761,0.4156,0.0894,0.0454,0.0132,0.0119,0.0
ARHGEF1,0.9999,0.878,0.7143,0.2787,0.1532,0.0987,0.0726,0.0475,0.045,0.023,0.0
ARHGEF18,0.9999,0.7442,0.824,0.4012,0.2701,0.1287,0.0581,0.0122,0.0932,0.0474,0.0
ARHGEF2,0.9999,0.8876,0.6721,0.1419,0.0995,0.0661,0.0432,0.0367,0.0324,0.0275,0.0
ARHGEF6,0.9999,0.8801,0.6171,0.2072,0.1701,0.102,0.0629,0.0571,0.0175,0.0109,0.0
ARHGEF7,0.9999,0.9004,0.8668,0.5045,0.1986,0.1259,0.0959,0.0848,0.0555,0.0242,0.0
ARID1A,0.9999,0.9868,0.7825,0.1965,0.1202,0.0913,0.1044,0.077,0.0352,0.0237,0.0
ARID1B,0.9999,1.0616,0.8808,0.2989,0.2162,0.172,0.1456,0.1231,0.1195,0.0757,0.0
ARID3A,0.9999,0.9269,0.3925,0.1458,0.1167,0.1062,0.0935,0.0949,0.0371,0.0154,0.0
ARIH1,0.9999,1.0495,1.0048,1.0429,1.0179,0.9416,0.7297,0.3231,0.0859,0.0137,0.0
ARIH2,0.9999,1.0054,0.9102,0.9175,0.8377,0.5475,0.1351,0.0597,0.0375,0.0211,0.0
ARL14EP,0.9999,0.8755,0.741,0.2182,0.1012,0.0786,0.0731,0.0563,0.0124,0.0092,0.0
ARL2,0.9999,0.8613,0.7279,0.6596,0.6786,0.2998,0.1402,0.0877,0.0704,0.0574,0.0
ARL6IP4,0.9999,0.928,1.21,1.1901,0.6352,0.3766,0.3047,0.1728,0.1865,0.2596,0.0
ARL8A,0.9999,0.9057,0.9188,0.8162,0.884,0.6816,0.4409,0.301,0.2551,0.152,0.0
ARMC1,0.9999,0.9336,0.8618,0.705,0.3933,0.1273,0.0699,0.0676,0.0495,0.0278,0.0
ARMC6,0.9999,0.718,0.1731,0.0785,0.0565,0.0325,0.0297,0.0171,0.0195,0.0084,0.0
ARMC8,0.9999,1.0767,1.1776,1.0599,1.0934,0.3558,0.1542,0.0962,0.1098,0.0704,0.0
ARMCX3,0.9999,0.694,0.7502,0.4196,0.138,0.0683,0.023,0.0326,0.0711,0.0093,0.0
ARPC1A,0.9999,0.8089,1.0074,0.9619,1.0,0.754,0.7308,0.5376,0.4327,0.1061,0.0
ARPC1B,0.9999,1.0141,1.0897,1.0509,0.8601,0.6502,0.4681,0.3272,0.1418,0.0517,0.0
ARPC2,0.9999,0.8997,0.9467,1.1003,1.1407,0.8965,0.5969,0.4142,0.2319,0.0334,0.0
ARPC3,0.9999,0.887,0.9117,0.9293,1.0173,0.7221,0.4399,0.2591,0.0754,0.0151,0.0
ARPC5,0.9999,0.8824,0.8889,0.8412,0.8479,0.5738,0.4731,0.4207,0.225,0.0666,0.0
ARPP19,0.9999,1.5813,3.9027,1.8101,2.3287,4.4243,3.7907,2.4458,3.0116,3.0783,0.0
ARRDC1,0.9999,0.8597,0.9052,0.8274,0.8504,0.5018,0.2072,0.0129,0.0,0.0436,0.0
ARSA,0.9999,0.9104,0.9747,0.8875,0.6884,0.3781,0.3018,0.2749,0.3231,0.2997,0.0
